ACNO|BARCODE|CALLNO1|CALLNO2|CALLNO3|TITLE|STATUS|PUBER|AUTHOR_NAME|GMD|PM|BOOK_LAN|SUBJECT
C12850| | 471.6| | 4050| Java Script  網頁特效速成手冊    1| A| 指南針| 張啟榮| B| am| chi| Computer
C17834| | 471.6| | 4100| iPhone4 應用程式開發 入門與實戰| A| 碁峰| 楊正洪等| B| am| chi| Computer
C17833| | 471.6| | 4100| iPhone4 應用程式開發 入門與實戰| A| 碁峰| 楊正洪等| B| am| chi| Computer
C11073| | 471.6| | 4334| 電腦網絡 Internet 入門圖解| B| 萬里| Joshua Eddings| B| am| chi| Computer
C11401| | 471.6| | 4421| 最易學的倉頡課程| B| 基群| 莊偉強| B| am| chi| Computer
C11867| | 471.6| | 4421| 網站多媒體特效必學FLASH| A| | 莊湛琪| B| am| chi| Computer
C10395| | 471.6| | 4480| VB Script案例實作| A| 旗標| 黃昕暐、賴榮樞| B| am| chi| Computer
C12215| | 471.6| | 4480| 網上MP3和多媒體| A| | 黃松明| B| am| chi| Computer
C14235| | 471.6| | 4490| 電腦趣話| A| 和平圖書| 葉永烈| B| am| chi| Computer
C17772| | 471.6| | 4499| PHP + MySQL 與 Dreamweaver 亙動網站程式設計| A| 碁峰| 林梓涵| B| am| chi| Computer
C11074| | 471.6| | 4692| Microsoft PowerPoint 學習指南| A| 萬里| 楊以寧| B| am| chi| Computer
C06217| | 471.6| | 4762| PC 電腦繪圖與音樂| A| 松崗| 胡乃文| B| am| chi| Computer
TRC0146| | 471.6| | 4814| 救機大百科| W| 指南針集團| 何東緯| O| am| chi| Computer
C13612| | 471.6| | 4814| 救機大百科| A| 指南針| 何東緯| B| am| chi| Computer
C19106| | 471.6| | 5102| 打造 HTML5 + CSS3 網頁設計法則| A| 松崗資產管理| | B| am| chi| Computer
C17836| | 471.6| | 5201| 挑戰 PHP5 MySQL 程式設計樂活學| A| 碁峰資訊| 文淵閣工作室| B| am| chi| Computer
C10396| | 471.6| | 5203| 抓住你的Photoshop 4.0 中文版TC| A| 旗標| | B| am| chi| Computer
TRC0144| | 471.6| | 5483| Windows 疑難排解 1088 條| W| 指南針集團| 馬國平| O| am| chi| Computer
C13595| | 471.6| | 5483| Windows Registry 完全使用手冊| A| 指南針| | B| am| chi| Computer
TRC0148| | 471.6| | 5483| Windows 秘技手冊| W| 指南針集團| 張建龍| O| am| chi| Computer
C17770| | 471.6| | 5495| Visual C # 2010 從零開始| A| 博碩文化| | B| am| chi| Computer
C12857| | 471.6| | 5709| Flash MX 完全使用手冊| A| 指南針| 曾曙光| B| am| chi| Computer
C11208| | 471.6| | 6014| 最輕鬆的DIY寶典| A| 松崗| | B| am| chi| Computer
C17835| | 471.6| | 6477| 想做好網站一定要會的 CSS3| A| 花千樹| Zoe Mickley Gillenwater| B| am| chi| Computer
C13610| | 471.6| | 7022| 防黑客攻擊自衛術| A| 指南針| 進階電腦編輯部| B| am| chi| Computer
C11874| | 471.6| | 7529| 信紙販賣機 PHOTOSHOP  5.5  ILLUSTRATOR| A| | 陳傑民| B| am| chi| Computer
C06220| | 471.6| | 7722| BASIC 程序入門| A| 萬里| 周�ㄍ B| am| chi| Computer
C11075| | 471.6| | 7722| Microsoft Access 學習指南| A| 萬里| 周桂明| B| am| chi| Computer
C17773| | 471.6| | 8033| 無線網絡 - 通訊協定、感測網路、射頻技術與應用服務| A| 碁峰| 曾煜棋, 林政寬, 林致宇, 潘孟鉉| B| am| chi| Computer
C10645| | 471.6| | 8227| 當代Photoshop 大師談設計| A| 旗標| Peke McClelland| B| am| chi| Computer
C11887| | 471.6| | 8822| 解讀駭客程式| A| | 簡正修| B| am| chi| Computer
C11408| | 471.63| | 7529| 實用倉頡字典| A| 快拍設計| 陳雪梅| B| am| chi| Computer
C21231| | 472| | 6526| 金屬| A| 瑞昇| 田中和明| B| am| chi| Chemistry
C21352| | 479| | 4033| 玩具醫生| A| 非凡| 李肇澤| B| am| chi| I. S.
C22120| | 479.7| | 0094| 守藝工匠II : 香港手藝匠人精神| A| 非凡出版| Rain Haze| B| am| chi| 
C13076| | 479.8| | 1060| 有趣的科學電磁玩具| A| 世茂| 西田和明| B| am| chi| Physics
C13355| | 479.8| | 1060| 有趣的科學電磁玩具| A| 世茂| 西田和明| B| am| chi| Others
C22252| | 480.25| | 7140| 香港老舖記錄冊| A| 亮光文化有限公司| 馬基諾, 詹穎宜, 陳容笙,黃文晉, 李佳玻| B| am| chi| 
C20387| | 481.3| | 2220| 彎彎甜點筆記 - 彎風正甜 ! 來喔 - 一起發現台北美味甜店| A| 臺北角川| 彎彎| B| am| chi| Others
C21896| | 483| | 1840| 下午茶--小息生活提案| A| | 徐振邦| B| am| chi| 
C19908| | 483.8| | 4040| 得閒去飲茶| A| 三聯| 李嘉雯| B| am| chi| History
C19246| | 483.8| | 4490| 厚生與創業 - 維他奶五十年 ( 一九四零至一九九零 )| A| | 蔡寶瓊| B| am| chi| BAFS
C14580| | 483.8| | 7054| 麥當奴 : 探索金拱門的奇蹟| A| 天下文化| John F. Love| B| am| chi| Others
C19059| | 483.8| | 8043| 美食吃飽飽 : 大阪| A| 臺灣角川| 曾束政昭| B| am| chi| Others
C19058| | 483.8| | 8043| 美食吃飽飽 : 京都| A| 臺灣角川| 吉田志帆| B| am| chi| Others
C19306| | 483.80932| | 1040| 韓國味道 散步手帖| B| 日出| 平松洋子| B| am| chi| Others
C19484| | 484.5| | 8010| 三星內幕 : 揭開三星第一的真相| A| 大牌| 金勇澈| B| am| chi| Liberal  Studies
C18233| | 484.67| | 2472| facebook 臉書效應| A| 天下雜誌| David Kirkpatrick| B| am| chi| Liberal  Studies
C21637| | 487| | 9308| 貝佐斯傳| A| 遠見天下| 布萊德.史東| B| am| chi| I. S.
C19069| | 487.6| | 2081| 書店怪問| A| 高寶國際| Jen Campbell| B| am| chi| Others
C18376| | 487.91| | 9448| IKEA 的真相| A| 早安財經文化| John Stenebo| B| am| chi| Economics
C21525| | 489| | 2620| 血汗超商| A| 群學| 吳偉立| B| am| chi| I. S.
C21724| | 489| | 4752| K-POP音樂產業大解密!| A| 商務| 柳東佶| B| am| chi| Liberal  Studies
C16325| | 490.15| | 8316| 企業社會責任實務全書| A| 商周| 錢為家| B| am| chi| Principles of Accounts
C19347| | 490.992| | 1123| 馬雲給年輕人的 12 堂求生課 - 今天很殘酷、明天更殘酷、後天會很美好| A| 時報文化| 張燕| B| am| chi| BAFS
C18871| | 494| | 1010| 胡雪巖的經商手法 : 做生意需要用點人脈和財脈| A| 德威國際文化| 王善亞| B| am| chi| BAFS
C21602| | 494| | 1555| 巴菲特寫給股東的信| A| 財信| 華倫.巴菲特| B| am| chi| Economics
C17180| | 494| | 1762| 營商有道 - 企業管治新思維| A| 匯智| 司徒永富, 鄭治洪| B| am| chi| Principles of Accounts
C16328| | 494| | 1762| 企業管治 : 原則與商德| A| 匯智| 司徒永富, 鄭治洪| B| am| chi| Principles of Accounts
C18371| | 494| | 2643| 企業管理個案研究 : 國際化思維與分析| A| 新文京開發| 吳岱儒| B| am| chi| Economics
C18193| | 494| | 2760| 笑話中的管理學| A| 海鴿文化| 魯克德| B| am| chi| BAFS
C21610| | 494| | 3044| 從0到1| A| 天下雜誌| 彼得.提爾| B| am| chi| I. S.
C17179| | 494| | 4084| 當代管理學| A| 麥格羅希爾| 劉忠明, 翟敏娟, 劉柏能| B| am| chi| Others
C18374| | 494| | 4499| 商業大鱷SAMSUNG : 21 堂課三星從賣米小鋪到賣全世界| A| 好優文化| 林宏文, 劉祥亞| B| am| chi| Economics
C19939| | 494| | 4893| 無印良品為什麼在全世界大受歡迎| A| 遠見天下文化| 松井忠三| B| am| chi| Liberal  Studies
C18568| | 494| | 7529| 圖解管理學| W| 易博士文化| 陳昵雯| B| am| chi| BAFS
C16324| | 494| | 8010| 企業學精要| A| 匯智| 劉柏能, 翟敏娟, ;劉忠明| B| am| chi| Principles of Accounts
C18197| | 494| | 8010| 企業學精要| A| 匯智| 劉柏能, 翟敏娟, 劉忠明| B| am| chi| BAFS
C16536| | 494| | 8020| 綠經濟 : 提升獲利的綠色企業策略| A| 麥格羅希爾| Joel Makower| B| am| chi| Economics
C17182| | 494| | 8067| 管理是甚麼| A| 天下遠見| Joan Magretta, Nan Stone| B| am| chi| Principles of Accounts
C18874| | 494| | 8220| 創業達人- 特許經營完全攻略| A| 出版動力集團| 唐榮| B| am| chi| BAFS
C17181| | 494| | 8877| 管理學精要| A| 匯智| 劉忠明, 翟敏娟, 劉柏能| B| am| chi| Principles of Accounts
C18194| | 494| | 8877| 管理學精要| A| 匯智| 劉忠明, 翟敏娟, 劉柏能| B| am| chi| BAFS
C16326| | 494| | 8877| 管理學原理| A| 中文大學| 香港管理專業發展中心| B| am| chi| Principles of Accounts
C17193| | 494.014| | 6074| EQ II| A| 時報| Daniel Goleman| B| am| chi| History
C22150| | 494.1| | 0074| 雜訊: 人類判斷的缺陷= Noise: a flaw in human judgment | A| 遠見天下文化| 丹尼爾.康納曼(Daniel Kahneman), 奧立維.席波尼(Olivier Sibony), 凱斯.桑思汀(Cass R. Sunstein)| B| am| chi| 
C18584| | 494.1| | 8010| 小資創業 - 22 位年輕店主成功記| A| 尖端| 金成炫, 金知賢| B| am| chi| Fiction
TRC0099| | 494.2| | 0083| 覺醒的年代 - 解讀弔詭新未來| W| 天下遠見| Charles Handy| O| am| chi| Others
C18375| | 494.2| | 5774| 為甚麼人們都喝星巴克，不喝即溶咖啡 ?| A| 易富| Dave Ulrich , Norm Small wood| B| am| chi| Economics
C17359| | 494.3| | 9106| 管人高手 22 招| A| 好讀| 悟心| B| am| chi| Principles of Accounts ( BAFS )
C18190| | 494.3| | 9106| 管人高手 22 招| A| 好讀| 悟心| B| am| chi| BAFS
C14920| | 494.35| | 1060| Good Job ! 拒當職場天兵的自保 39 招| A| 三采文化| 西出博子| B| am| chi| Others
C18188| | 494.35| | 1062| 我專業，故我在| A| 天下遠見| Subroto Bagchi| B| am| chi| BAFS
C14986| | 494.35| | 4758| 川普致富術| A| 時報| Donald Trump, Meredith Mclver| B| am| chi| Others
C14799| | 494.35| | 5700| 你自己決定成功| A| 希代| Tina Santi Flaherty| B| am| chi| Others
C20212| | 494.35| | 6010| GOOGLE 教我深度學習| A| 財經傳訊| 日經大數據| B| am| chi| Computer
C14796| | 494.35| | 7210| OL魅力領導書| A| 希代| 劉思華, 李潔| B| am| chi| Others
C14797| | 494.35| | 7210| OL 自信滿點書| A| 希代| 劉思華, 李潔| B| am| chi| Others
C18189| | 494.35| | 7790| 一分鐘讀懂賈伯斯| A| 創意市集| 桑原晃彌| B| am| chi| BAFS
C18873| | 494.7| | 0026| 買新樓 - 分析‧部署‧大出擊| A| 經濟日報| 唐榮| B| am| chi| BAFS
C18373| | 494.7| | 4385| 圖解財務管理| A| 五南| 戴國良| B| am| chi| Economics
C18872| | 494.7| | 4494| 與我一生的理財之道| A| 亮光文化| 林本利| B| am| chi| BAFS
C18222| | 494.7| | 5059| 如何分析一家公司| A| 財信| Bob Vause| B| am| chi| BAFS
C19063| | 495| | 1444| 審計密探 CIA - 一個審計師的數字人生| A| 經濟日報| Bittermelon| B| am| chi| BAFS
C18274| | 495| | 1444| 審計密探 CIA - 一個審計師的數字人生| A| 經濟日報| 鄭絜心| B| am| chi| BAFS
C19062| | 495| | 4040| 企業、會計及財務 新聞通識 - 企業篇| A| 經濟日報| 李兆波| B| am| chi| BAFS
C18869| | 495| | 4040| 企業、會計及財務 新聞通識 - 企業篇| A| 經濟日報| 李兆波| B| am| chi| BAFS
C18187| | 495| | 4040| 企業、會計及財務新聞通識| A| 經濟日報| 李兆波| B| am| chi| BAFS
C22073| | 495| | 4426| 壽司幹嘛轉來轉去?. 第3彈!!| A| | 林總| B| am| chi| 
C22058| | 495| | 4426| 壽司幹嘛轉來轉去？| A| | 林總| B| am| chi| 
C22072| | 495| | 4426| 壽司幹嘛轉來轉去?. 第2彈!!| A| | 林總| B| am| chi| 
C09879| | 495| | 8060| 會計學新論| A| 商務| | B| am| chi| Others
C18195| | 495.47| | 4702| 財務報表這樣看就對了 : 108 個看報表的關鍵、訣竅與注意事項| A| 臉譜| John A. Tracy| B| am| chi| BAFS
C18372| | 495.49| | 8010| 圖解記帳| A| 大是文化| 金井猛| B| am| chi| Economics
C18186| | 495.71| | 0078| 成本會計 : 強調管理| A| 臺灣培生教育| Charles T. Horngren 等| B| am| chi| BAFS
C18273| | 495.71| | 3814| 輕鬆解構管理會計| A| 生活書房| 游紹永博士| B| am| chi| BAFS
C16327| | 496| | 0022| 市場學概論 : 附香港個案| A| 中文大學| 藍婷| B| am| chi| Principles of Accounts
C21982| | 496| | 1046| 中國智造| A| | 王蔚明| B| am| chi| 
C18279| | 496| | 6547| Google為何不打進中國 : 全球在地化的5 大新通路| A| 時報| John A. Quelch, Katherine E. Jocz| B| am| chi| Liberal  Studies
C18192| | 496.5| | 7721| 笑話中的銷售學| A| 海鴿文化| 凡禹、海霞| B| am| chi| BAFS
C15639| | 497| | 4040| 廣告副作用| A| 晶冠| 李欣頻| B| am| chi| Others
C22119| | 498| | 4468| 香港遺美 : 香港老店記錄| A| 非凡出版| 林曉敏| B| am| chi| 
C22122| | 498.09| | 4468| 香港遺美| A| 非凡| 林曉敏| B| am| chi| History
C21665| | 498.09| | 4468| 香港遺美| B| 非凡| 林曉敏| B| am| chi| History
C18284| | 498.2| | 7047| 廉價商品 : 全球貿易與便宜貨的窮途末路 ?| A| 博雅書屋| Gordon Laird| B| am| chi| Liberal  Studies
M00178| | 500| | | Sky & Telescope ( Feb., 2014 )| W| | | M| am| eng| Astronomy
M00180| | 500| | | Scientific  American   Dec., 2011| W| | | M| am| eng| Others
M00179| | 500| | | Scientific  American   Sept., 2011| W| | | M| am| eng| Others
C22167| | 500| | 0503| 講學1：一書讀通 廣東話俗語| A| 亮光文化有限公司| 廣東話資料館| B| am| chi| 
C22161| | 500| | 5034| 香港保衛戰紀 :  WATERSHED HONG KONG| A| ?鳥出版| Watershed Hong kong| B| am| chi| 中史
E140077| | 500| | BEL| A Little History of Science| A| Yale University Press | David Bellamy| E| am| eng| 
09867| | 500| | BLE| Energy Sources| A| Perfection Learning| Karen E. Bledsoe| B| am| eng| I. S.
09484| | 500| | BRI| Inventions & Discoveries 4 - Revolutionary Changes| A| Pearson Education Asia Ltd.| Roger Bridgman| B| am| eng| I. S.
09485| | 500| | BRI| Inventions & Discoveries 5 - Science Take Control| A| Pearson Education Asia Ltd.| Roger Bridgman| B| am| eng| I. S.
09481| | 500| | BRI| Inventions & Discoveries 1 - Learning the Basics| A| Pearson Education Asia Ltd.| Roger Bridgman| B| am| eng| I. S.
09482| | 500| | BRI| Inventions & Discoveries 2 - The Age of Authority| A| Pearson Education Asia Ltd.| Roger Bridgman| B| am| eng| I. S.
09483| | 500| | BRI| Inventions & Discoveries 3 - New Worlds, New Ideas| A| Pearson Education Asia Ltd.| Roger Bridgman| B| am| eng| I. S.
09487| | 500| | BRI| Inventions & Discoveries 7 - Information & Uncertainty| A| Pearson Education Asia Ltd.| Roger Bridgman| B| am| eng| I. S.
09486| | 500| | BRI| Inventions & Discoveries 6 - Inventions for Everyone| A| Pearson Education Asia Ltd.| Roger Bridgman| B| am| eng| I. S.
09024| | 500| | BRY| A Short History of Nearly Everything| A| Black Swan| Bill Bryson| B| am| eng| I. S.
08010| | 500| | BUR| Think Like a Scientist| A| Steck-Vaughn| Melissa Blackwell Burke| B| am| eng| I. S.
09848| | 500| | CHI| Issac Newton and His Laws of Motion| A| Benchmark Education Company| Mona Chiang| B| am| eng| I. S.
10337| | 500| | CLA| The Human Body in 30 Seconds| A| Ivy Press| Anna Claybourne| B| am| eng| I. S.
09853| | 500| | COM| Compounds and Mixtures| A| McGraw-Hill| Kate McArthur| B| am| eng| I. S.
11175| | 500| | COX| The Infinite Monkey Cage| A| William Benton|  Brian Cox, Robin Ince & Alexandra Feachem| B| am| eng| I. S.
11646| | 500| | EVA| The big ideas in science : a complete introduction| A| Carmelite House| Jon Evans| B| am| eng| 
10915| | 500| | EVE| Everything you need to ace science in one big fat notebook| A| Workman  | Chris Pearce| B| am| eng| English
09095| | 500| | FRE| Nature Experiments| A| Sterling| Anthony D. Fredericks| B| am| eng| I. S.
08091| | 500| | GAF| Fish Grew Legs & Other Questions about Prehistory| A| Kingfisher| Jackie Gaff| B| am| eng| I. S.
09094| | 500| | GAR| Smart Science Tricks| A| Sterling| Martin Gardner| B| am| eng| I. S.
10336| | 500| | GOL| Inventions in 30 Seconds| A| Ivy Press| Dr. Mike Goldsmith| B| am| eng| I. S.
09849| | 500| | GRO| Growth and Change| A| Blake| | B| am| eng| I. S.
09854| | 500| | HYL| Mystery Machines| A| Nelson| Tony Hyland| B| am| eng| I. S.
10154| | 500| | INV| 100 Inventions That Made History| A| DK Publishing| Tracey Turner, Andrea Mills, Clive Gifford| B| am| eng| I. S.
09865| | 500| | JAK| Growing Up| A| Thomson Nelson| Cheryl Jakab| B| am| eng| I. S.
09866| | 500| | JAK| Follow the Clues| A| Thomson Nelson| Cheryl Jakab| B| am| eng| I. S.
07414| | 500| | JEN| Playground Detectives| A| O. U. P.| Terry Jennings| B| am| eng| Others
08930| | 500| | JER| More Science of You| A| Foreign Language Teaching and Research Press| Kate Boehm Jerome| B| am| eng| I. S.
08933| | 500| | JER| The Science of You| A| Foreign Language Teaching and Research Press| Kate Boehm Jerome| B| am| eng| I. S.
08935| | 500| | JER| Science at the Park| A| Foreign Language Teaching and Research Press| Kate Boehm Jerome| B| am| eng| I. S.
08937| | 500| | JER| Science at the Sandy Shore| A| Foreign Language Teaching and Research Press| Kate Boehm Jerome| B| am| eng| Geography
10265| | 500| | JHA| How to Live Forever and 34 Other Really Interesting Uses of Science| A| Quercus| Alok Jha| B| am| eng| I. S.
08928| | 500| | JOH| Learning about Ocean Animals| A| Foreign Language Teaching and Research Press| Rebecca L. Johnson| B| am| eng| Geography
08923| | 500| | JOH| Puzzling out Patterns| A| Foreign Language Teaching and Research Press| Rebecca L. Johnson| B| am| eng| Mathematics
08942| | 500| | JOH| Peering into Darkness| A| Foreign Language Teaching and Research Press| Rebecca L. Johnson| B| am| eng| I. S.
08686| | 500| | LEE| Form One Science| A| Singapore Asian Publication Pte Ltd| K. E. Lee| B| am| eng| I. S.
08687| | 500| | LEE| Form One Science| A| Singapore Asian Publication Pte Ltd| K. E. Lee| B| am| eng| I. S.
08688| | 500| | LEE| Form Two Science| A| Singapore Asian Publication Pte Ltd| K. E. Lee| B| am| eng| I. S.
08689| | 500| | LEE| Form Two Science| A| Singapore Asian Publication Pte Ltd| K. E. Lee| B| am| eng| I. S.
09096| | 500| | LEV| Kitchen Science| A| Sterling| Shar Levine, Leslie Johnstone| B| am| eng| I. S.
08094| | 500| | MAD| Inventions| A| Kingfisher| Wendy Madgwick| B| am| eng| I. S.
09101| | 500| | MAN| Super Science Experiments| A| Sterling| Muriel Mandell| B| am| eng| I. S.
09851| | 500| | MCA| Animal Senses| W| Nelson| Kate McArthur| B| am| eng| I. S.
10726| | 500| | MUI| Science in Seconds| L| Quercus| Hazel Muir| B| am| eng| I. S.
